Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,080272,"Cabanyes, les",100,326,62,86,318,72,186,644,134
2019,250616,Cabó,2,31,16,4,24,15,6,55,31
2019,430363,Cabra del Camp,90,406,112,78,366,111,168,772,223
2019,080288,Cabrera d'Anoia,124,544,101,90,448,103,214,992,204
2019,080291,Cabrera de Mar,366,1584,398,351,1576,405,717,3160,803
2019,080305,Cabrils,614,2547,521,619,2582,556,1233,5129,1077
2019,170329,Cadaqués,183,929,210,198,938,254,381,1867,464
2019,080312,Calaf,306,1140,329,292,1060,408,598,2200,737
2019,430379,Calafell,2113,8807,2442,1845,8505,2826,3958,17312,5268
2019,080348,Calders,73,342,84,70,304,97,143,646,181
2019,080327,Caldes d'Estrac,212,970,244,207,989,360,419,1959,604
2019,170335,Caldes de Malavella,659,2589,580,641,2482,690,1300,5071,1270
2019,080333,Caldes de Montbui,1454,5915,1376,1317,5676,1816,2771,11591,3192
2019,080351,Calella,1403,6337,1599,1315,6137,2278,2718,12474,3877
2019,080370,Calldetenes,193,853,213,201,799,230,394,1652,443
2019,080386,Callús,203,712,146,193,665,221,396,1377,367
2019,080364,Calonge de Segarra,9,63,20,10,51,35,19,114,55
2019,170340,Calonge i Sant Antoni,870,3665,1036,741,3631,1149,1611,7296,2185
2019,250621,Camarasa,47,253,110,42,226,139,89,479,249
2019,439039,Camarles,259,1047,332,198,967,421,457,2014,753
2019,430385,Cambrils,3068,11032,2453,2857,11427,3061,5925,22459,5514
2019,170353,Camós,62,206,73,46,203,103,108,409,176
2019,170366,Campdevànol,206,987,373,209,961,487,415,1948,860
2019,170372,Campelles,8,43,20,6,47,15,14,90,35
2019,080399,Campins,35,206,36,36,175,41,71,381,77
2019,170388,Campllong,61,184,27,59,179,37,120,363,64
2019,170391,Camprodon,142,691,284,144,682,338,286,1373,622
2019,250637,Canejan,3,37,17,6,34,10,9,71,27
2019,170405,Canet d'Adri,66,238,67,54,219,79,120,457,146
2019,080403,Canet de Mar,1145,4627,1296,1041,4661,1756,2186,9288,3052
2019,439076,"Canonja, la",519,1970,403,537,1966,498,1056,3936,901
2019,080410,Canovelles,1560,5874,1179,1455,5178,1383,3015,11052,2562
2019,080425,Cànoves i Samalús,270,1053,258,252,1008,276,522,2061,534
2019,170412,Cantallops,20,95,38,24,95,41,44,190,79
2019,080431,Canyelles,408,1652,354,369,1528,336,777,3180,690
2019,430398,Capafonts,4,41,17,7,37,15,11,78,32
2019,430402,Capçanes,16,127,59,24,115,57,40,242,116
2019,080446,Capellades,398,1724,514,382,1648,627,780,3372,1141
2019,170427,Capmany,42,199,66,48,187,71,90,386,137
2019,080459,Capolat,12,25,7,9,31,10,21,56,17
2019,080462,Cardedeu,1714,5993,1250,1657,6101,1642,3371,12094,2892
2019,080478,Cardona,287,1443,543,303,1333,727,590,2776,1270
2019,080484,Carme,60,255,81,50,229,90,110,484,171
2019,430419,Caseres,6,76,47,13,72,45,19,148,92
2019,170448,Cassà de la Selva,921,3658,722,862,3256,961,1783,6914,1683
2019,080497,Casserres,119,503,191,105,463,227,224,966,418
2019,080575,Castell de l'Areny,4,25,9,2,27,1,6,52,10
2019,259046,Castell de Mur,10,59,35,6,46,27,16,105,62
2019,250642,Castellar de la Ribera,17,35,15,10,39,18,27,74,33
2019,080522,Castellar de n'Hug,4,66,15,8,45,21,12,111,36
2019,080500,Castellar del Riu,14,59,21,13,43,19,27,102,40
2019,080517,Castellar del Vallès,2123,8092,1733,1921,8126,2192,4044,16218,3925
2019,080538,Castellbell i el Vilar,260,1277,326,283,1126,375,543,2403,701
2019,080543,Castellbisbal,1147,4325,766,1119,4143,890,2266,8468,1656
2019,080556,Castellcir,68,273,51,69,240,51,137,513,102
2019,250674,Castelldans,57,347,107,59,270,120,116,617,227
2019,080569,Castelldefels,5689,23075,4254,5299,23040,5647,10988,46115,9901
2019,080581,Castellet i la Gornal,173,796,211,171,698,243,344,1494,454
2019,170464,Castellfollit de la Roca,79,304,110,55,277,136,134,581,246
2019,080608,Castellfollit de Riubregós,5,58,23,6,35,24,11,93,47
2019,080594,Castellfollit del Boix,39,144,39,33,130,51,72,274,90
2019,080615,Castellgalí,189,695,178,165,629,206,354,1324,384
2019,080620,Castellnou de Bages,124,517,91,135,437,93,259,954,184
2019,250680,Castellnou de Seana,44,223,94,46,175,101,90,398,195
2019,170470,Castelló d'Empúries,858,3703,947,860,3514,1024,1718,7217,1971
2019,250693,Castelló de Farfanya,33,186,69,29,141,78,62,327,147
2019,080636,Castellolí,47,207,48,81,178,58,128,385,106
2019,170486,Castell-Platja d'Aro,838,3558,961,779,3615,1109,1617,7173,2070
2019,250707,Castellserà,58,325,123,61,274,162,119,599,285
2019,080641,Castellterçol,167,822,247,171,728,328,338,1550,575
2019,430424,Castellvell del Camp,266,966,206,217,1003,199,483,1969,405
2019,080654,Castellví de la Marca,105,508,158,107,478,179,212,986,337
2019,080667,Castellví de Rosanes,139,670,122,159,632,162,298,1302,284
2019,430430,"Catllar, el",395,1577,337,355,1471,316,750,3048,653
2019,250714,Cava,2,19,8,1,8,9,3,27,17
2019,171899,"Cellera de Ter, la",152,610,203,140,591,250,292,1201,453
2019,170499,Celrà,580,1883,259,578,1849,303,1158,3732,562
2019,080673,Centelles,605,2429,596,572,2355,847,1177,4784,1443
2019,082687,Cercs,65,379,133,55,316,197,120,695,330
2019,082665,Cerdanyola del Vallès,4208,18981,4849,3948,19297,6120,8156,38278,10969
2019,080689,Cervelló,780,3057,692,720,2947,858,1500,6004,1550
2019,250729,Cervera,804,3199,667,765,2903,842,1569,6102,1509
2019,250735,Cervià de les Garrigues,26,217,93,31,171,102,57,388,195
2019,170502,Cervià de Ter,92,311,89,81,312,83,173,623,172
2019,170519,Cistella,20,85,33,22,90,32,42,175,65
2019,250740,Ciutadilla,11,65,35,10,56,31,21,121,66
2019,250753,Clariana de Cardener,10,58,14,10,52,13,20,110,27
2019,250766,"Cogul, el",6,48,34,4,38,28,10,86,62
2019,170545,Colera,13,144,66,21,133,71,34,277,137
2019,250772,Coll de Nargó,35,174,76,30,162,73,65,336,149
2019,080692,Collbató,450,1579,291,389,1437,320,839,3016,611
2019,430458,Colldejou,8,66,19,11,51,21,19,117,40
2019,080706,Collsuspina,28,112,34,34,105,29,62,217,63
2019,170558,Colomers,9,57,21,10,53,26,19,110,47
2019,251636,"Coma i la Pedra, la",14,113,30,9,76,23,23,189,53
2019,251615,Conca de Dalt,22,123,68,25,117,63,47,240,131
2019,430461,Conesa,6,30,18,1,32,16,7,62,34
2019,430477,Constantí,643,2297,458,590,2054,498,1233,4351,956
2019,080713,Copons,25,96,31,31,89,38,56,185,69
2019,430483,Corbera d'Ebre,72,331,128,49,289,147,121,620,275
2019,080728,Corbera de Llobregat,1299,5205,945,1203,5008,1162,2502,10213,2107
2019,250788,Corbins,132,532,123,100,394,163,232,926,286
2019,170577,Corçà,123,380,143,86,380,155,209,760,298
2019,080734,Cornellà de Llobregat,6592,28862,7491,6448,28951,10248,13040,57813,17739
2019,170561,Cornellà del Terri,200,761,236,194,728,245,394,1489,481
2019,430496,Cornudella de Montsant,51,354,100,53,266,117,104,620,217
2019,430509,Creixell,278,1164,403,251,1077,469,529,2241,872
2019,170583,Crespià,20,83,24,18,68,33,38,151,57
2019,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",90,425,125,92,421,126,182,846,251
2019,080749,Cubelles,1320,5191,1176,1243,5008,1391,2563,10199,2567
2019,250791,Cubells,14,115,51,15,92,56,29,207,107
2019,430516,Cunit,916,4062,1369,976,4054,1575,1892,8116,2944
2019,170600,Darnius,28,180,65,32,162,79,60,342,144
2019,170617,Das,21,91,19,28,71,23,49,162,42
2019,439018,Deltebre,822,3823,1143,775,3520,1399,1597,7343,2542
2019,080752,Dosrius,482,1958,340,476,1836,389,958,3794,729
2019,430537,Duesaigües,14,97,29,10,65,30,24,162,59
2019,170622,"Escala, l'",727,3428,1112,680,3230,1162,1407,6658,2274
2019,080765,Esparreguera,1836,7754,1659,1731,7253,2018,3567,15007,3677
2019,170638,Espinelves,12,79,19,16,64,25,28,143,44
2019,250812,"Espluga Calba, l'",15,103,53,18,88,64,33,191,117
2019,430542,"Espluga de Francolí, l'",247,1233,344,269,1167,495,516,2400,839
2019,080771,Esplugues de Llobregat,3416,14283,4601,3114,15175,6091,6530,29458,10692
2019,170643,Espolla,27,116,60,20,129,64,47,245,124
2019,170656,Esponellà,41,133,50,36,122,56,77,255,106
2019,250827,Espot,17,141,35,25,114,32,42,255,67
2019,080787,"Espunyola, l'",14,83,29,12,80,36,26,163,65
2019,082541,"Esquirol, l'",141,723,241,141,664,271,282,1387,512
2019,250886,Estamariu,10,32,26,6,28,16,16,60,42
2019,080790,"Estany, l'",33,125,47,19,111,71,52,236,118
